Country,Category,DateTime,Value,Frequency,Treatment Subject,After Intervention,Treatment. subject*After Intervention
Uruguay,Government Budget Value,2016-01-31T00:00:00,1274.34,Monthly,1,0,0
Uruguay,Government Budget Value,2016-02-29T00:00:00,-3949.639,Monthly,1,0,0
Uruguay,Government Budget Value,2016-03-31T00:00:00,-4463.951,Monthly,1,0,0
Uruguay,Government Budget Value,2016-04-30T00:00:00,-771.47,Monthly,1,0,0
Uruguay,Government Budget Value,2016-05-31T00:00:00,-1719.208,Monthly,1,0,0
Uruguay,Government Budget Value,2016-06-30T00:00:00,-9306.498,Monthly,1,0,0
Uruguay,Government Budget Value,2016-07-31T00:00:00,-2788.043,Monthly,1,0,0
Uruguay,Government Budget Value,2016-08-31T00:00:00,-6203.871,Monthly,1,0,0
Uruguay,Government Budget Value,2016-09-30T00:00:00,-5017.446,Monthly,1,0,0
Uruguay,Government Budget Value,2016-10-31T00:00:00,-6112.46,Monthly,1,0,0
Uruguay,Government Budget Value,2016-11-30T00:00:00,-5439.948,Monthly,1,0,0
Uruguay,Government Budget Value,2016-12-31T00:00:00,-11054.497,Monthly,1,0,0
Uruguay,Government Budget Value,2017-01-31T00:00:00,3798.766,Monthly,1,0,0
Uruguay,Government Budget Value,2017-02-28T00:00:00,-4098.635,Monthly,1,0,0
Uruguay,Government Budget Value,2017-03-31T00:00:00,-8917.684,Monthly,1,0,0
Uruguay,Government Budget Value,2017-04-30T00:00:00,4446.462,Monthly,1,0,0
Uruguay,Government Budget Value,2017-05-31T00:00:00,2178.806,Monthly,1,0,0
Uruguay,Government Budget Value,2017-06-30T00:00:00,-13172.185,Monthly,1,0,0
Uruguay,Government Budget Value,2017-07-31T00:00:00,-3300.096,Monthly,1,0,0
Uruguay,Government Budget Value,2017-08-31T00:00:00,-3953.401,Monthly,1,0,0
Uruguay,Government Budget Value,2017-09-30T00:00:00,-6428.647,Monthly,1,0,0
Uruguay,Government Budget Value,2017-10-31T00:00:00,-5559.567,Monthly,1,0,0
Uruguay,Government Budget Value,2017-11-30T00:00:00,-4343.329,Monthly,1,0,0
Uruguay,Government Budget Value,2017-12-31T00:00:00,-11212.562,Monthly,1,0,0
Uruguay,Government Budget Value,2018-01-31T00:00:00,3803.283,Monthly,1,0,0
Uruguay,Government Budget Value,2018-02-28T00:00:00,-4762.29,Monthly,1,0,0
Uruguay,Government Budget Value,2018-03-31T00:00:00,-4843.993,Monthly,1,0,0
Uruguay,Government Budget Value,2018-04-30T00:00:00,-1585.922,Monthly,1,0,0
Uruguay,Government Budget Value,2018-05-31T00:00:00,977.329,Monthly,1,0,0
Uruguay,Government Budget Value,2018-06-30T00:00:00,-14936.357,Monthly,1,0,0
Uruguay,Government Budget Value,2018-07-31T00:00:00,-2907.579,Monthly,1,0,0
Uruguay,Government Budget Value,2018-08-31T00:00:00,-1025.81,Monthly,1,0,0
Uruguay,Government Budget Value,2018-09-30T00:00:00,-6236.744,Monthly,1,0,0
Uruguay,Government Budget Value,2018-10-31T00:00:00,10270.375,Monthly,1,0,0
Uruguay,Government Budget Value,2018-11-30T00:00:00,-5245.378,Monthly,1,0,0
Uruguay,Government Budget Value,2018-12-31T00:00:00,-11643.659,Monthly,1,0,0
Uruguay,Government Budget Value,2019-01-31T00:00:00,3682.956,Monthly,1,0,0
Uruguay,Government Budget Value,2019-02-28T00:00:00,-3293.402,Monthly,1,0,0
Uruguay,Government Budget Value,2019-03-31T00:00:00,-3853.931,Monthly,1,0,0
Uruguay,Government Budget Value,2019-04-30T00:00:00,-4823.697,Monthly,1,0,0
Uruguay,Government Budget Value,2019-05-31T00:00:00,-4084.092,Monthly,1,0,0
Uruguay,Government Budget Value,2019-06-30T00:00:00,-14610.477,Monthly,1,0,0
Uruguay,Government Budget Value,2019-07-31T00:00:00,-1965.931,Monthly,1,0,0
Uruguay,Government Budget Value,2019-08-31T00:00:00,229.1,Monthly,1,0,0
Uruguay,Government Budget Value,2019-09-30T00:00:00,-4945.313,Monthly,1,0,0
Uruguay,Government Budget Value,2019-10-31T00:00:00,744.232,Monthly,1,0,0
Uruguay,Government Budget Value,2019-11-30T00:00:00,-6697.29,Monthly,1,0,0
Uruguay,Government Budget Value,2019-12-31T00:00:00,-20781.268,Monthly,1,0,0
Uruguay,Government Budget Value,2020-01-31T00:00:00,3542.508,Monthly,1,0,0
Uruguay,Government Budget Value,2020-02-29T00:00:00,-34770.826,Monthly,1,0,0
Uruguay,Government Budget Value,2020-03-31T00:00:00,15558.606,Monthly,1,0,0
Uruguay,Government Budget Value,2020-04-30T00:00:00,1058.758,Monthly,1,0,0
Uruguay,Government Budget Value,2020-05-31T00:00:00,-14513.929,Monthly,1,0,0
Uruguay,Government Budget Value,2020-06-30T00:00:00,-28587.946,Monthly,1,0,0
Uruguay,Government Budget Value,2020-07-31T00:00:00,-7072.659,Monthly,1,1,1
Uruguay,Government Budget Value,2020-08-31T00:00:00,-7048.435,Monthly,1,1,1
Uruguay,Government Budget Value,2020-09-30T00:00:00,-339.974,Monthly,1,1,1
Uruguay,Government Budget Value,2020-10-31T00:00:00,-6447.592,Monthly,1,1,1
Uruguay,Government Budget Value,2020-11-30T00:00:00,-8015.157,Monthly,1,1,1
Uruguay,Government Budget Value,2020-12-31T00:00:00,-27098.224,Monthly,1,1,1
Uruguay,Government Budget Value,2021-01-31T00:00:00,3794.208,Monthly,1,1,1
Uruguay,Government Budget Value,2021-02-28T00:00:00,-12945.234,Monthly,1,1,1
Uruguay,Government Budget Value,2021-03-31T00:00:00,-34734.606,Monthly,1,1,1
Uruguay,Government Budget Value,2021-04-30T00:00:00,29318.59,Monthly,1,1,1
Uruguay,Government Budget Value,2021-05-31T00:00:00,-6737.183,Monthly,1,1,1
Uruguay,Government Budget Value,2021-06-30T00:00:00,-25290.732,Monthly,1,1,1
Uruguay,Government Budget Value,2021-07-31T00:00:00,-10577.662,Monthly,1,1,1
Uruguay,Government Budget Value,2021-08-31T00:00:00,-9104.013,Monthly,1,1,1
Uruguay,Government Budget Value,2021-09-30T00:00:00,-6832.769,Monthly,1,1,1
Uruguay,Government Budget Value,2021-10-31T00:00:00,863.383,Monthly,1,1,1
Uruguay,Government Budget Value,2021-11-30T00:00:00,-8039.952,Monthly,1,1,1
Uruguay,Government Budget Value,2021-12-31T00:00:00,-21876.733,Monthly,1,1,1
Uruguay,Government Budget Value,2022-01-31T00:00:00,5960.873,Monthly,1,1,1
Uruguay,Government Budget Value,2022-02-28T00:00:00,-3057.843,Monthly,1,1,1
Uruguay,Government Budget Value,2022-03-31T00:00:00,-73.842,Monthly,1,1,1
Uruguay,Government Budget Value,2022-04-30T00:00:00,-678.544,Monthly,1,1,1
Argentina,Government Budget Value,2016-01-31T00:00:00,-548,Monthly,0,0,0
Argentina,Government Budget Value,2016-02-29T00:00:00,-17377.3,Monthly,0,0,0
Argentina,Government Budget Value,2016-03-31T00:00:00,-31719.5,Monthly,0,0,0
Argentina,Government Budget Value,2016-04-30T00:00:00,-12757.9,Monthly,0,0,0
Argentina,Government Budget Value,2016-05-31T00:00:00,-13700.7,Monthly,0,0,0
Argentina,Government Budget Value,2016-06-30T00:00:00,-45099.7,Monthly,0,0,0
Argentina,Government Budget Value,2016-07-31T00:00:00,-25714.6,Monthly,0,0,0
Argentina,Government Budget Value,2016-08-31T00:00:00,-37232.9,Monthly,0,0,0
Argentina,Government Budget Value,2016-09-30T00:00:00,-38913.7,Monthly,0,0,0
Argentina,Government Budget Value,2016-10-31T00:00:00,-62958.7,Monthly,0,0,0
Argentina,Government Budget Value,2016-11-30T00:00:00,-14060.6,Monthly,0,0,0
Argentina,Government Budget Value,2016-12-31T00:00:00,-59298.4,Monthly,0,0,0
Argentina,Government Budget Value,2017-01-31T00:00:00,3587.2,Monthly,0,0,0
Argentina,Government Budget Value,2017-02-28T00:00:00,-26746.8,Monthly,0,0,0
Argentina,Government Budget Value,2017-03-31T00:00:00,-18184.2,Monthly,0,0,0
Argentina,Government Budget Value,2017-04-30T00:00:00,-18663.6,Monthly,0,0,0
Argentina,Government Budget Value,2017-05-31T00:00:00,-27239.4,Monthly,0,0,0
Argentina,Government Budget Value,2017-06-30T00:00:00,-57038.8,Monthly,0,0,0
Argentina,Government Budget Value,2017-07-31T00:00:00,-22089.6,Monthly,0,0,0
Argentina,Government Budget Value,2017-08-31T00:00:00,-24650.6,Monthly,0,0,0
Argentina,Government Budget Value,2017-09-30T00:00:00,-31353.1,Monthly,0,0,0
Argentina,Government Budget Value,2017-10-31T00:00:00,-32494.8,Monthly,0,0,0
Argentina,Government Budget Value,2017-11-30T00:00:00,-29661.5,Monthly,0,0,0
Argentina,Government Budget Value,2017-12-31T00:00:00,-119607.1,Monthly,0,0,0
Argentina,Government Budget Value,2018-01-31T00:00:00,3928.6,Monthly,0,0,0
Argentina,Government Budget Value,2018-02-28T00:00:00,-20227.6,Monthly,0,0,0
Argentina,Government Budget Value,2018-03-31T00:00:00,-14701.9,Monthly,0,0,0
Argentina,Government Budget Value,2018-04-30T00:00:00,-10342.4,Monthly,0,0,0
Argentina,Government Budget Value,2018-05-31T00:00:00,-7817.8,Monthly,0,0,0
Argentina,Government Budget Value,2018-06-30T00:00:00,-56663.6,Monthly,0,0,0
Argentina,Government Budget Value,2018-07-31T00:00:00,-14279.6,Monthly,0,0,0
Argentina,Government Budget Value,2018-08-31T00:00:00,-10356.4,Monthly,0,0,0
Argentina,Government Budget Value,2018-09-30T00:00:00,-22854.3,Monthly,0,0,0
Argentina,Government Budget Value,2018-10-31T00:00:00,-16585.9,Monthly,0,0,0
Argentina,Government Budget Value,2018-11-30T00:00:00,-33770.2,Monthly,0,0,0
Argentina,Government Budget Value,2018-12-31T00:00:00,-135316.2,Monthly,0,0,0
Argentina,Government Budget Value,2019-01-31T00:00:00,16657.6,Monthly,0,0,0
Argentina,Government Budget Value,2019-02-28T00:00:00,6726.4,Monthly,0,0,0
Argentina,Government Budget Value,2019-03-31T00:00:00,-13037,Monthly,0,0,0
Argentina,Government Budget Value,2019-04-30T00:00:00,498.5,Monthly,0,0,0
Argentina,Government Budget Value,2019-05-31T00:00:00,25973.8,Monthly,0,0,0
Argentina,Government Budget Value,2019-06-30T00:00:00,-6598.2,Monthly,0,0,0
Argentina,Government Budget Value,2019-07-31T00:00:00,4292.8,Monthly,0,0,0
Argentina,Government Budget Value,2019-08-31T00:00:00,13746.1,Monthly,0,0,0
Argentina,Government Budget Value,2019-09-30T00:00:00,-25368.3,Monthly,0,0,0
Argentina,Government Budget Value,2019-10-31T00:00:00,8526.9,Monthly,0,0,0
Argentina,Government Budget Value,2019-11-30T00:00:00,-6397,Monthly,0,0,0
Argentina,Government Budget Value,2019-12-31T00:00:00,-120143.2,Monthly,0,0,0
Argentina,Government Budget Value,2020-01-31T00:00:00,-3766,Monthly,0,0,0
Argentina,Government Budget Value,2020-02-29T00:00:00,-27497.1,Monthly,0,0,0
Argentina,Government Budget Value,2020-03-31T00:00:00,-124727.7,Monthly,0,0,0
Argentina,Government Budget Value,2020-04-30T00:00:00,-228821.6,Monthly,0,0,0
Argentina,Government Budget Value,2020-05-31T00:00:00,-251287.02,Monthly,0,0,0
Argentina,Government Budget Value,2020-06-30T00:00:00,-253706.2,Monthly,0,0,0
Argentina,Government Budget Value,2020-07-31T00:00:00,-155523.8,Monthly,0,1,0
Argentina,Government Budget Value,2020-08-31T00:00:00,-89499.4,Monthly,0,1,0
Argentina,Government Budget Value,2020-09-30T00:00:00,-167181.5,Monthly,0,1,0
Argentina,Government Budget Value,2020-10-31T00:00:00,-81626.7,Monthly,0,1,0
Argentina,Government Budget Value,2020-11-30T00:00:00,-58692.8,Monthly,0,1,0
Argentina,Government Budget Value,2020-12-31T00:00:00,-307627.5,Monthly,0,1,0
Argentina,Government Budget Value,2021-01-31T00:00:00,24073.6,Monthly,0,1,0
Argentina,Government Budget Value,2021-02-28T00:00:00,-18757.2,Monthly,0,1,0
Argentina,Government Budget Value,2021-03-31T00:00:00,-74465.7,Monthly,0,1,0
Argentina,Government Budget Value,2021-04-30T00:00:00,-11444.9,Monthly,0,1,0
Argentina,Government Budget Value,2021-05-31T00:00:00,25713.6,Monthly,0,1,0
Argentina,Government Budget Value,2021-06-30T00:00:00,-153217.3,Monthly,0,1,0
Argentina,Government Budget Value,2021-07-31T00:00:00,-98570.3,Monthly,0,1,0
Argentina,Government Budget Value,2021-08-31T00:00:00,-193393.2,Monthly,0,1,0
Argentina,Government Budget Value,2021-09-30T00:00:00,237250.5,Monthly,0,1,0
Argentina,Government Budget Value,2021-10-31T00:00:00,-209168.7,Monthly,0,1,0
Argentina,Government Budget Value,2021-11-30T00:00:00,-134652.9,Monthly,0,1,0
Argentina,Government Budget Value,2021-12-31T00:00:00,-496343.6,Monthly,0,1,0
Argentina,Government Budget Value,2022-01-31T00:00:00,-16698,Monthly,0,1,0
Argentina,Government Budget Value,2022-02-28T00:00:00,-76283.5,Monthly,0,1,0
Argentina,Government Budget Value,2022-03-31T00:00:00,-99753.3,Monthly,0,1,0
Argentina,Government Budget Value,2022-04-30T00:00:00,-79184.8,Monthly,0,1,0